Gene stable ID	GO term accession
BRADI1G00220	GO:0006351
BRADI1G00220	GO:0006355
BRADI1G00220	GO:0006351
BRADI1G00227	GO:0043531
BRADI1G00227	GO:0006952
BRADI1G00227	GO:0043531
BRADI1G00237	GO:0043531
BRADI1G00237	GO:0006952
BRADI1G00237	GO:0043531
BRADI1G00247	
BRADI1G00260	GO:0005524
BRADI1G00260	GO:0004672
BRADI1G00260	GO:0006468
BRADI1G00260	GO:0016772
BRADI1G00260	GO:0006468
BRADI1G00260	GO:0005515
BRADI1G00260	GO:0004672
BRADI1G00260	GO:0005524
BRADI1G00270	GO:0005524
BRADI1G00270	GO:0004672
BRADI1G00270	GO:0006468
BRADI1G00270	GO:0016772
BRADI1G00270	GO:0006468
BRADI1G00270	GO:0004672
BRADI1G00270	GO:0005524
BRADI1G00270	GO:0005524
BRADI1G00270	GO:0004672
BRADI1G00270	GO:0006468
BRADI1G00270	GO:0016772
BRADI1G00270	GO:0006468
BRADI1G00270	GO:0004672
BRADI1G00270	GO:0005524
BRADI1G00280	GO:0016020
BRADI1G00280	GO:0055085
BRADI1G00280	GO:0006855
BRADI1G00280	GO:0015238
BRADI1G00280	GO:0015297
BRADI1G00280	GO:0006855
BRADI1G00280	GO:0055085
BRADI1G00280	GO:0015297
BRADI1G00280	GO:0015238
BRADI1G00280	GO:0016021
BRADI1G00280	GO:0016020
BRADI1G00290	
BRADI1G00300	GO:0016787
BRADI1G00300	GO:0008152
BRADI1G00300	GO:0006629
BRADI1G00300	GO:0016042
BRADI1G00300	GO:0006629
BRADI1G00300	GO:0008152
BRADI1G00300	GO:0016787
BRADI1G00310	
BRADI1G00320	
BRADI1G00330	
BRADI1G00340	
BRADI1G00350	GO:0003677
BRADI1G00350	GO:0003899
BRADI1G00350	GO:0006351
BRADI1G00350	GO:0016740
BRADI1G00350	GO:0016779
BRADI1G00350	GO:0003899
BRADI1G00350	GO:0006351
BRADI1G00350	GO:0003677
BRADI1G00360	GO:0003677
BRADI1G00360	GO:0003899
BRADI1G00360	GO:0006351
BRADI1G00360	GO:0003899
BRADI1G00360	GO:0006351
BRADI1G00360	GO:0003677
BRADI1G00370	
BRADI1G00380	GO:0016491
BRADI1G00380	GO:0055114
BRADI1G00380	GO:0005515
BRADI1G00380	GO:0016491
BRADI1G00390	GO:0016772
BRADI1G00390	GO:0005488
BRADI1G00390	GO:0016772
BRADI1G00400	GO:0016020
BRADI1G00400	GO:0008375
BRADI1G00400	GO:0008375
BRADI1G00400	GO:0016020
BRADI1G00410	
BRADI1G00417	
BRADI1G00427	GO:0003677
BRADI1G00427	GO:0005524
BRADI1G00427	GO:0000166
BRADI1G00427	GO:0016787
BRADI1G00427	GO:0005634
BRADI1G00427	GO:0003676
BRADI1G00427	GO:0004386
BRADI1G00427	GO:0016818
BRADI1G00427	GO:0006289
BRADI1G00427	GO:0004003
BRADI1G00427	GO:0006139
BRADI1G00427	GO:0008026
BRADI1G00427	GO:0016817
BRADI1G00427	GO:0006139
BRADI1G00427	GO:0006289
BRADI1G00427	GO:0004003
BRADI1G00427	GO:0008026
BRADI1G00427	GO:0016818
BRADI1G00427	GO:0003676
BRADI1G00427	GO:0005524
BRADI1G00427	GO:0003677
BRADI1G00427	GO:0005634
BRADI1G00440	GO:0003676
BRADI1G00440	GO:0003676
BRADI1G00450	
BRADI1G00450	
BRADI1G00460	GO:0016020
BRADI1G00460	GO:0005524
BRADI1G00460	GO:0000166
BRADI1G00460	GO:0017111
BRADI1G00460	GO:0006200
BRADI1G00460	GO:0016887
BRADI1G00460	GO:0016887
BRADI1G00460	GO:0005524
BRADI1G00460	GO:0016020
BRADI1G00460	GO:0016020
BRADI1G00460	GO:0005524
BRADI1G00460	GO:0000166
BRADI1G00460	GO:0017111
BRADI1G00460	GO:0006200
BRADI1G00460	GO:0016887
BRADI1G00460	GO:0016887
BRADI1G00460	GO:0005524
BRADI1G00460	GO:0016020
BRADI1G00470	GO:0005515
BRADI1G00470	GO:0005515
BRADI1G00480	
BRADI1G00490	GO:0008150
BRADI1G00497	GO:0005515
BRADI1G00510	GO:0006376
BRADI1G00510	GO:0005685
BRADI1G00510	GO:0003729
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00517	GO:0000166
BRADI1G00517	GO:0003676
BRADI1G00530	
BRADI1G00540	GO:0046872
BRADI1G00540	GO:0030001
BRADI1G00540	GO:0030001
BRADI1G00540	GO:0046872
BRADI1G00550	GO:0016020
BRADI1G00550	GO:0016021
BRADI1G00550	GO:0006810
BRADI1G00550	GO:0005215
BRADI1G00550	GO:0005215
BRADI1G00550	GO:0006810
BRADI1G00550	GO:0016021
BRADI1G00550	GO:0016020
BRADI1G00560	
BRADI1G00560	
BRADI1G00560	
BRADI1G00567	GO:0005515
BRADI1G00580	GO:0005524
BRADI1G00580	GO:0004672
BRADI1G00580	GO:0004674
BRADI1G00580	GO:0006468
BRADI1G00580	GO:0016772
BRADI1G00580	GO:0006468
BRADI1G00580	GO:0005515
BRADI1G00580	GO:0004672
BRADI1G00580	GO:0005524
BRADI1G00587	GO:0055114
BRADI1G00587	GO:0004499
BRADI1G00587	GO:0050661
BRADI1G00587	GO:0055114
BRADI1G00587	GO:0050660
BRADI1G00587	GO:0016491
BRADI1G00600	GO:0008150
BRADI1G00607	GO:0005524
BRADI1G00607	GO:0000166
BRADI1G00607	GO:0003774
BRADI1G00607	GO:0016459
BRADI1G00607	GO:0005515
BRADI1G00607	GO:0016459
BRADI1G00607	GO:0003774
BRADI1G00607	GO:0005524
BRADI1G00620	GO:0016874
BRADI1G00620	GO:0016881
BRADI1G00620	GO:0016874
BRADI1G00630	
BRADI1G00640	
BRADI1G00650	GO:0022857
BRADI1G00650	GO:0016021
BRADI1G00660	GO:0016020
BRADI1G00660	GO:0022857
BRADI1G00660	GO:0016021
BRADI1G00660	GO:0016020
BRADI1G00670	GO:0003677
BRADI1G00670	GO:0003700
BRADI1G00670	GO:0006355
BRADI1G00670	GO:0006351
BRADI1G00670	GO:0005634
BRADI1G00670	GO:0006355
BRADI1G00670	GO:0006351
BRADI1G00670	GO:0003677
BRADI1G00670	GO:0005634
BRADI1G00670	GO:0003700
BRADI1G00677	GO:0008150
BRADI1G00690	GO:0016787
BRADI1G00690	GO:0004721
BRADI1G00690	GO:0004721
BRADI1G00690	GO:0016787
BRADI1G00700	GO:0016021
BRADI1G00700	GO:0022857
BRADI1G00700	GO:0055085
BRADI1G00700	GO:0005315
BRADI1G00700	GO:0006817
BRADI1G00700	GO:0022857
BRADI1G00700	GO:0005315
BRADI1G00700	GO:0006817
BRADI1G00700	GO:0055085
BRADI1G00700	GO:0016021
BRADI1G00710	GO:0010413
BRADI1G00710	GO:0045492
BRADI1G00710	GO:0010089
BRADI1G00710	GO:0044036
BRADI1G00710	GO:0009832
BRADI1G00710	GO:0009507
BRADI1G00710	GO:0010089
BRADI1G00710	GO:0045492
BRADI1G00710	GO:0009832
BRADI1G00710	GO:0010413
BRADI1G00710	GO:0009507
BRADI1G00720	
BRADI1G00720	
BRADI1G00730	GO:0005524
BRADI1G00730	GO:0000166
BRADI1G00730	GO:0006457
BRADI1G00730	GO:0005737
BRADI1G00730	GO:0042026
BRADI1G00730	GO:0044267
BRADI1G00730	GO:0042026
BRADI1G00730	GO:0005737
BRADI1G00730	GO:0006457
BRADI1G00730	GO:0005524
BRADI1G00750	GO:0003677
BRADI1G00750	GO:0003700
BRADI1G00750	GO:0006355
BRADI1G00750	GO:0006352
BRADI1G00750	GO:0016987
BRADI1G00750	GO:0090351
BRADI1G00750	GO:0001053
BRADI1G00750	GO:0071482
BRADI1G00750	GO:0016117
BRADI1G00750	GO:0009902
BRADI1G00750	GO:0034660
BRADI1G00750	GO:0030154
BRADI1G00750	GO:0019288
BRADI1G00750	GO:0010027
BRADI1G00750	GO:0009965
BRADI1G00750	GO:0045893
BRADI1G00750	GO:0005515
BRADI1G00750	GO:0071482
BRADI1G00750	GO:0016987
BRADI1G00750	GO:0001053
BRADI1G00750	GO:0006352
BRADI1G00750	GO:0016117
BRADI1G00750	GO:0034660
BRADI1G00750	GO:0009902
BRADI1G00750	GO:0010027
BRADI1G00750	GO:0006355
BRADI1G00750	GO:0045893
BRADI1G00750	GO:0030154
BRADI1G00750	GO:0019288
BRADI1G00750	GO:0009965
BRADI1G00750	GO:0003677
BRADI1G00750	GO:0003700
BRADI1G00750	GO:0090351
BRADI1G00760	GO:0016020
BRADI1G00760	GO:0005524
BRADI1G00760	GO:0000166
BRADI1G00760	GO:0017111
BRADI1G00760	GO:0006200
BRADI1G00760	GO:0016887
BRADI1G00760	GO:0005886
BRADI1G00760	GO:0016887
BRADI1G00760	GO:0005886
BRADI1G00760	GO:0005524
BRADI1G00760	GO:0016020
BRADI1G00770	GO:0046872
BRADI1G00770	GO:0030001
BRADI1G00770	GO:0030001
BRADI1G00770	GO:0046872
BRADI1G00780	GO:0016020
BRADI1G00780	GO:0055085
BRADI1G00780	GO:0006855
BRADI1G00780	GO:0015238
BRADI1G00780	GO:0015297
BRADI1G00780	GO:0006855
BRADI1G00780	GO:0055085
BRADI1G00780	GO:0015297
BRADI1G00780	GO:0015238
BRADI1G00780	GO:0016021
BRADI1G00780	GO:0016020
BRADI1G00790	GO:0016787
BRADI1G00790	GO:0006629
BRADI1G00790	GO:0016788
BRADI1G00790	GO:0016788
BRADI1G00800	
BRADI1G00807	GO:0016787
BRADI1G00807	GO:0006629
BRADI1G00807	GO:0016788
BRADI1G00807	GO:0016788
BRADI1G00820	
BRADI1G00830	GO:0003674
BRADI1G00830	GO:0008150
BRADI1G00830	GO:0005575
BRADI1G00840	
BRADI1G00847	GO:0043248
BRADI1G00847	GO:0043161
BRADI1G00847	GO:0006626
BRADI1G00847	GO:0051788
BRADI1G00847	GO:0005515
BRADI1G00847	GO:0005783
BRADI1G00847	GO:0051788
BRADI1G00847	GO:0043248
BRADI1G00847	GO:0043161
BRADI1G00847	GO:0006626
BRADI1G00847	GO:0005783
BRADI1G00860	GO:0016798
BRADI1G00860	GO:0005777
BRADI1G00860	GO:0005886
BRADI1G00860	GO:0016798
BRADI1G00860	GO:0005777
BRADI1G00860	GO:0005886
BRADI1G00867	GO:0003723
BRADI1G00867	GO:0003735
BRADI1G00867	GO:0005622
BRADI1G00867	GO:0005840
BRADI1G00867	GO:0006412
BRADI1G00867	GO:0015934
BRADI1G00867	GO:0005622
BRADI1G00867	GO:0015934
BRADI1G00867	GO:0003723
BRADI1G00867	GO:0003735
BRADI1G00867	GO:0006412
BRADI1G00867	GO:0005840
BRADI1G00880	
BRADI1G00887	GO:0006810
BRADI1G00887	GO:0005634
BRADI1G00887	GO:0006886
BRADI1G00887	GO:0008536
BRADI1G00887	GO:0005488
BRADI1G00887	GO:0006886
BRADI1G00900	
BRADI1G00910	GO:0006661
BRADI1G00910	GO:0008150
BRADI1G00910	GO:0006661
BRADI1G00920	
BRADI1G00930	
BRADI1G00940	
BRADI1G00950	GO:0016491
BRADI1G00950	GO:0055114
BRADI1G00950	GO:0016706
BRADI1G00950	GO:0055114
BRADI1G00950	GO:0016706
BRADI1G00950	GO:0016491
BRADI1G00950	GO:0046872
BRADI1G00960	GO:0043531
BRADI1G00960	GO:0006952
BRADI1G00960	GO:0043531
BRADI1G00960	GO:0043531
BRADI1G00960	GO:0006952
BRADI1G00960	GO:0043531
BRADI1G00970	
BRADI1G00980	GO:0044238
BRADI1G00980	GO:0009534
BRADI1G00980	GO:0009570
BRADI1G00980	GO:0009507
BRADI1G00980	GO:0044238
BRADI1G00980	GO:0009534
BRADI1G00980	GO:0055114
BRADI1G00980	GO:0010181
BRADI1G00980	GO:0009570
BRADI1G00980	GO:0016491
BRADI1G00980	GO:0044238
BRADI1G00980	GO:0044238
BRADI1G00980	GO:0055114
BRADI1G00980	GO:0010181
BRADI1G00980	GO:0016491
BRADI1G00990	GO:0030554
BRADI1G00990	GO:0030295
BRADI1G00990	GO:0042149
